,id,raw_address,POI/street,POI,street
1986,1986,apartement casablanca mansion ( unit 3301 ) tolong di titipkan saja di lobby belakang,,,
1989,1989,ton 36 mpanau sigi biromaru,,,
2006,2006,bendu hilir 14 11 bendungan hilir rt 4 3 tanah abang,,,
2019,2019,"gun mas, 31 ciumbuleuit cidadap",,,
2031,2031,"bali mega hotel ho, taman giri, benoa",,,
2046,2046,mas ata no 81 pepes nasi novie gegerkalong,,,
2060,2060,"pasi, no 3 warung sate dan nasi gule,",,,
2069,2069,"annisa cendol malino,",,,
2073,2073,"banc, braga kel. sumur bandung",,,
2084,2084,beng resmi suz kab.ban dato tiro ujung bulu,,,
2099,2099,nan sukajadi,,,
2101,2101,mojolangu teru sudi ii 10 65142 lowokwaru,,,
2103,2103,"pla surf, wol mon,",,,
2136,2136,"pulan damar, laun 88,",,,
2141,2141,"h.t. rohendi, samarang samarang",,,
2153,2153,"war nasi sunda dua saud, imam bon, bojongjaya karawaci",,,
2159,2159,"baba prat xviii, babatan kel.",,,
2181,2181,"bank jabar ban, kelur pamulang",,,
2186,2186,cemp 3 karangsatria kel.,,,
2194,2194,merta 98 kerobokan kelod kuta utara,,,
2199,2199,"samping taman bunga nusantara, jln. mariwati, kawungluwuk, des. cikanyere",,,
2210,2210,jembatan ratu timur jembat pelor,,,
2237,2237,"nutra sweet pt bande, penjaringan",,,
2251,2251,"polite keseh kemenkes sura - jurusan kepera, prof dr must airlangga",,,
2286,2286,batang kumu kel. tambusai,,,
2294,2294,"kap murod idrus, 148 donat boga rasa",,,
2304,2304,bint 2 pondok gede,,,
2308,2308,"prof moh yamin, h busro,",,,
2310,2310,suto prima utara 6 60113 mulyorejo,,,
2314,2314,kelapa gading timur gad raya 12a 10 14240 kelapa gading,,,
2321,2321,sukahaji raya cip 418 cipeundeuy,,,
2325,2325,"ud sinar mulia garment, br blahpane kaje (sebelah utara obyek wisata taman nusa), desa sid",,,
2328,2328,gg. h pre 34 karang mulya karang tengah,,,
2329,2329,"perumahan mendalo hills, lr.berlin nomor 14",,,
2339,2339,"nasion, gudang garam pt tbk batuan",,,
2342,2342,jend. ahmad yani no 284 pringsewu utara pringsewu,,,
2349,2349,kemayoran kre bha xiv 3 rw 2 60176 krembangan,,,
2350,2350,"cipinang besar selatan cipi jaya aa, 32 rt 9 8 jatinegara",,,
2355,2355,raya bumi indah 5 pasar kemis,,,
2361,2361,kober pondok cina kel. beji,,,
2373,2373,haji abu bakar 98 cipambuan babakan madang,,,
2376,2376,kuranji salak raya 45 25173 kuranji,,,
2378,2378,"tajurhalang seta, 29 rt 1 rw 2 tajurhalang",,,
2383,2383,haji com 49 srengseng sawah rt 5 rw 1 jagakarsa,,,
2387,2387,"sma negeri 7, mul, sepinggan",,,
2391,2391,wij kus sinduadi mlati,,,
2396,2396,bsp regency jl. april a-1 kurir wajib telepon,,,
2417,2417,"panti asu yatim muhammadiyah,",,,
2418,2418,g lob no 13 jagabaya ii sukabumi,,,
2420,2420,"essang selatan sd kris bukit sion essang, 95883 essang",,,
2429,2429,gg. 1 pati lor pati,,,
2454,2454,siam no 247 benua melayu darat pontianak selatan,,,
2489,2489,apartemen kalibata city tower sakura lantai 3 be,,,
2490,2490,cipu vi rt 6 8 cipulir kebayoran lama,,,
2506,2506,selong senj buntu 16 rt 5 rw 2 kebayoran baru,,,
2512,2512,pondok bahar geong 4 no 38 rw 3 karang tengah,,,
2514,2514,"nasi gor sura madu raya parpo,",,,
2517,2517,"h. sahwan, raya labuhan, labuhan lombok pringgabaya",,,
2518,2518,"manun iii, 47 cibubur 12",,,
2519,2519,"noto, tegalgondo karangploso",,,
2529,2529,sah fitri jambi selatan,,,
2535,2535,sumur batu gg. rah 42 rt 8 6 kemayoran,,,
2543,2543,"parangt pengin selera, parangtritis kretek",,,
2546,2546,mranggen karang 127 59567 mranggen,,,
2548,2548,hj. eng ii 42 padasuka cimahi tengah,,,
2571,2571,kampung rancalongong rt 04 rw 11desa solokan jeruk,,,
2579,2579,"rinj raya, klapanunggal klapa nunggal (kelapa nunggal)",,,
2598,2598,"anto, gun sah, gunung sahari selatan",,,
2605,2605,"hayam wuruk, semarang selatan",,,
2612,2612,peja indah 19 kalibata rt 7 rw 9 pancoran,,,
2633,2633,"purwoharjo nasi 1, 33 52363 comal",,,
2643,2643,"abd,",,,
2644,2644,jalan karya bakti perumahan puri saujana 2 blok e6,,,
2646,2646,"pulo nan ten, no ix 3 apotek bint mas, rw 8 pulo gadung pulo gadung",,,
2651,2651,gg. got roy no 200 baturaja lama,,,
2652,2652,bogo dok sut vi 20 nganjuk,,,
2663,2663,"ems cell, kom r sukanto, 83 rw 2",,,
2674,2674,susukan damai 34 rt 12 rw 4,,,
2679,2679,"galar iv, tlogosari kulon kel. pedurungan",,,
2680,2680,kota baru sawo 1 no 3 rt 5 7 bekasi barat,,,
2685,2685,"pilang raya, no 81 karya gemilang,",,,
2703,2703,tend dauh puri denpasar barat,,,
2712,2712,"sukmajaya raya utan mal, 25 tajurhalang",,,
2726,2726,kh. abdurr wahid no 100 kalianget wonosobo,,,
2737,2737,pantai manikin unnamed road kel.tarus,,,
2740,2740,kowi iii lr tamalanrea jaya tamalanrea,,,
2745,2745,ciledug lor jl. kap piere tend rt 4 3 ciledug,,,
2763,2763,"mawar, no 3 kebondalem kel.",,,
2767,2767,jln.yos sudarso nyx space depan hotel sahid garuntang - bumi waras - bandar lampung,,,
2774,2774,desa cipanas blok tarikolot kebon gayam rt rw 002 004,,,
2788,2788,"(kavling polri) jalan hadiah utama 2g blok f6 nomor 1541a, jelambar",,,
2796,2796,semanan war pojok 114 rt 8 5 kalideres,,,
2806,2806,pulo gebang pin e 5 rt 7 9 13950 cakung,,,
2827,2827,loktabat utara raden fatah 11 70714 banjar baru utara,,,
2842,2842,"ksu bha mulya muhaj, no 37",,,
2861,2861,ning art & jewelle bayat,,,
2888,2888,"beth celu,",,,
2895,2895,"dunkin don,",,,
2900,2900,"aan ac mobil kap tend, 24a",,,
2920,2920,gg. kunti kerobokan kuta utara,,,
2923,2923,"mz metro tanj bunga,",,,
2924,2924,"kampoeng saya, tangk per no 113 kuta utara",,,
2928,2928,"tam sir, kunciran kel.",,,
2944,2944,"gsja talit, jend gatot subr, sokaraja kidul sokaraja",,,
2953,2953,"pesan assulthoniyah k h sul,",,,
2971,2971,rawa bunga mas jatine 39 rt 4 rw 4 13350 jatinegara,,,
2991,2991,"pendidikan unrila, way dadi",,,
2993,2993,jeruk lingkar timur singaran pati,,,
3003,3003,"desa jatil, 9 jatiluhur rt 3 3 jatiasih",,,
3025,3025,term bus buang kagungan serang,,,
3031,3031,"nasi tempe pen rahayu, ben mer gang 9 bendul merisi",,,
3041,3041,"madrasah diniyah darunnida bah, mekar jaya",,,
3048,3048,"palm barat viii, gg. a1 19 palmerah rt 2 10 palmerah",,,
3081,3081,pejag v no 29 pekojan rt 6 2 tambora,,,
3097,3097,"raya kerob, 138 seminyak kuta utara",,,
3100,3100,kertajaya pasar curug agung baru ged lima 40553 padalarang,,,
3111,3111,antang ant raya no 53,,,
3117,3117,"rimba mulya i,",,,
3125,3125,"rawa laut jl. jend. sudi, 86 35213 enggal",,,
3156,3156,"albu madu murni, nasio kutosari",,,
3172,3172,"pus rak, no 25 pusaka rakyat tarumajaya",,,
3201,3201,"toko armira jaya, beri, kramat",,,
3208,3208,"war babe, inisi 15316",,,
3211,3211,"gent v, 36c rw 3 genting kel.",,,
3218,3218,gang bersau,,,
3221,3221,"ghani computer perum dem mulia blok f, kebon sari",,,
3230,3230,"dan collec, panglima sudi, kanigaran",,,
3235,3235,"abdul rah saleh, semarang barat",,,
3241,3241,"yusan devel, bumi intan per, gamping",,,
3259,3259,linggar bumi pesona asri no 49 rancaekek,,,
3265,3265,"bak dabun jl sun kemay no 45, sunter kemay,",,,
3268,3268,del xvi 273 rambutan rt 15 rw 3 ciracas,,,
3271,3271,"gatot subroto ii, no 9 war pecel fam 2, sungai pinang",,,
3272,3272,"smp ungg al hida raya tarik, tarik",,,
3298,3298,"kepah - pagar al, sikap dalam",,,
3301,3301,mekarwangi raja vi,,,
3308,3308,kal 171 harjamukti harjamukti,,,
3309,3309,harapan jaya nan ii no 54,,,
3313,3313,"giant ekstra jln raya bogor ciman depok, raya bogor, mekar sari cimanggis",,,
3319,3319,"puske, no 90-71 pondok aren",,,
3342,3342,mawar merah ii no 49 pondok kopi rt 5 1 duren sawit,,,
3359,3359,kali timur no 112 bungur 7,,,
3361,3361,"utama toko -ho mawar, no 36",,,
3369,3369,"cuc laun, inten, cipinang melayu makasar",,,
3382,3382,man besar v no 147 rw 4,,,
3394,3394,modern photo industry pt smp 44 no 44 rw 4,,,
3408,3408,"griya k'manten kem cemp 2, a6 4 rawalumbu",,,
3416,3416,merdeka 1 no 39 75117 sungai pinang,,,
3428,3428,"bana, 64133",,,
3430,3430,dusun teluk kodek kecamatan pemenang kabupaten lombok utara,,,
3435,3435,"pejeng smpn satu atap 1tampaksiring ir. soekarno, 80552 tampak siring",,,
3440,3440,"warung sidoma, ban magetan",,,
3442,3442,"online shop maka, lan baru, rappocini",,,
3445,3445,raya kan kandat kandat,,,
3458,3458,danau poso sanur kauh denpasar selatan,,,
3479,3479,"vete, 53 prodi tarbiyah univer islam lamongan,",,,
3487,3487,"daar mo nasi jin, lab no 12 kuta selatan",,,
3490,3490,kuti 36 kutisari 1 tenggilis mejoyo,,,
3500,3500,"bank negara indonesia, terboyo kulon genuk",,,
3506,3506,habib muha 6 nagri kidul rt 12 5 purwakarta,,,
3531,3531,cipi jaya raya 29 no 29 rt 6 8 jatinegara,,,
3538,3538,darmo patm 98b 7 60256 wonokromo,,,
3551,3551,"beringin raya nada lest, 39 35155",,,
3559,3559,apel merah iii 24 teluk pucung rt 3 21 bekasi utara,,,
3575,3575,a para se,,,
3580,3580,graha tirta dahlia 38,,,
3588,3588,"tegal alur prima dalam, 3 rt 3 10 11820 kalideres",,,
3598,3598,batu merah todak 32 29444 batu ampar,,,
3601,3601,"andro, tela 1, 18 suka sari",,,
3604,3604,"sd neg 2 kedew, ubud",,,
3609,3609,"warkop indah djaya, raya plum,",,,
3620,3620,"bins, raya sawa pancoran mas",,,
3622,3622,ramb 30-32 rt 11 rw 8 pondok kelapa duren sawit,,,
3652,3652,"meut multi konsultan, manggala",,,
3656,3656,"raya ren, no 311 rengel rengel",,,
3691,3691,"pos indonesia beli, air tawar barat",,,
3692,3692,"kp jongor rt 4 13,depan kolam renang tirta riang",,,
3706,3706,"moneygram, let amir kus, 68213",,,
3716,3716,raya kayu tin 1 cakung timur rt 2 rw 6 cakung,,,
3759,3759,villa tom ba no h3 kuta jaya 20 pasar kemis,,,
3776,3776,"bidan desa slumbung bu lia,",,,
3780,3780,omah mila kauman,,,
3788,3788,jetis pos paud mawar jetis pema,,,
3792,3792,tera raya cisalak sukmajaya,,,
3800,3800,pami no 48 rt 8 6 cijantung pasar rebo,,,
3803,3803,biola 56 sambongjaya mangkubumi,,,
3825,3825,"puspan ten viii no 12 herli agency, rw 2",,,
3857,3857,"kh. adam, gg. iv 306 simbang kulon buaran",,,
3864,3864,gg. dah ii no 15 rt 7 10,,,
3865,3865,toko bu supardi sidorejo,,,
3870,3870,"pangkas rambut ceria bana krendang timur 3, 14 rw 1 tambora",,,
3876,3876,"gub kerta vii, no 56 hers prat cv, rw 4 airlangga",,,
3890,3890,"saung kebers, binuang",,,
3892,3892,tambakrejo purwo 4 no 58 rw 3 50174 gayamsari,,,
3893,3893,"nina access, sukarami",,,
3910,3910,"klojen raya law - mal, 4 klojen",,,
3926,3926,nerada estate blok c1 no10rt03 rw10 kelurahan cipayung ciputat,,,
3928,3928,ki ageng tapa 29 gesik tengah tani,,,
3931,3931,"par, no 1178",,,
3935,3935,"bakso mal 99, butuh, sudimoro teras",,,
3938,3938,"koperasi sadar, pagel, pagelaran",,,
3945,3945,"gg. mang, pela mampang mampang prapatan",,,
3956,3956,jl. karper ii no. 6 pondok permai kuta baru tangerang,,,
3959,3959,"melsa hots, braga, braga",,,
3962,3962,parigi jomb raya 46 15227 pondok aren,,,
3970,3970,bangomolunow trans sula no 12 bolaang,,,
3973,3973,"rotary bintaro serp flou com,",,,
3994,3994,"kampung baru sudi, 789 29555 cerenti",,,
3996,3996,puri harmoni 1 b 1 no 8 rt 02 rw 011 rawa ilat dayeuh cileungsi bogor,,,
4018,4018,dinoyo sekol i 48 rt 3 rw 4 keputran tegalsari,,,
4025,4025,"zeintin collection, k. h. abdul hadi, cipare serang",,,
4032,4032,4 panggung tegal timur,,,
4033,4033,tongk ran 79 teluk lingga sangatta utara,,,
4052,4052,jl. kh. mas mans 4 kebon melati rt 4 1 tanah abang,,,
4057,4057,"kantor kecamatan ngadi, ngadirojo",,,
4062,4062,perumahan wahana cikarang blok d5no4 desa sukadami kecamatan cikarang selatan,,,
4064,4064,"majap, 174c gayamsari rw 1 gayamsari",,,
4070,4070,"kreo selatan perto mandate, kh. wahid has 19-20 larangan",,,
4073,4073,mawar ii 71 perwira rt 3 8 bekasi utara,,,
4078,4078,"bambu 3 warkop, bro barat, manyar",,,
4079,4079,"cv harm goron, buladu kota barat",,,
4080,4080,rengas ken raya no 4 8 15412 ciputat timur,,,
4088,4088,"jorong talago laweh, nagari sulit air kec. x koto diatas, kab. sol",,,
4090,4090,"elios alun alun timur, purwaraja",,,
4093,4093,"panc bar i, pancoran rt 4 rw 6 pancoran",,,
4096,4096,perw labuh baru timur payung sekaki,,,
4105,4105,kecu sumerta kaja denpasar timur,,,
4109,4109,gempeng ramb rt 5 2,,,
4120,4120,tanah merah utara v 27 9 tanah kali kedinding kenjeran,,,
4123,4123,"bluenet war, sido asri,",,,
4192,4192,wij k no 60 pondok betung pondok aren,,,
4201,4201,"masjid isti moda 3, modayag",,,
4223,4223,"alamat al aziz islamic boarding school, kampung gandrung, desa",,,
4229,4229,"rumah makan taman sal, mawar, jember lor",,,
4231,4231,"toko edi seti, ancolmekar arjasari",,,
4234,4234,"villa kelapa dua , janur 3, blk d , no 5 , pos pengumben",,,
4238,4238,"green gar view,",,,
4242,4242,"go, raya gun cupu, plered",,,
4250,4250,mar emas timur i 35 sukolilo,,,
4254,4254,asem gede wates,,,
4274,4274,"jln.h ams gang lon tlp, 12 cipulir wr.mamah sasha w, rt 4 9 kebayoran lama",,,
4276,4276,batu ii a 7 rt 7 rw 9 kemanggisan palmerah,,,
4301,4301,"tebet barat dalam 8 b 12 pt lentera abadi makmur,",,,
4308,4308,meru raya rangkapan jaya baru pancoran mas,,,
4310,4310,river coffe dan juice ir. h. juanda tonatan,,,
4313,4313,desa seberang pantai sebelum jembatan lubuk jambi,,,
4315,4315,"empu sen raya, no 74 cibodas baru cibodas",,,
4330,4330,siliw no 33 pamoyanan cianjur,,,
4333,4333,"kantor pegad, jl. raya semp sempidi mengwi",,,
4339,4339,urip sumoh klitren gondokusuman,,,
4354,4354,"mini kosmetik, tirta,",,,
4357,4357,"dukuh sutorejo raya mulyo, no 304 8 mulyorejo",,,
4373,4373,"pang hida, no 47 mercu sarana, samarinda kota",,,
4378,4378,d jera no 55 babat jerawat 3 pakal,,,
4389,4389,"kh wahid has, no 117b medan baru",,,
4411,4411,cibatu dago indah no 37 cikarang selatan,,,
4417,4417,ac. 3 rawalumbu,,,
4428,4428,pasar iii 145 tegal rejo medan perjuangan,,,
4435,4435,warung wina singosari,,,
4446,4446,nga mulyo vii 35 ngagelrejo rt 6 4 wonokromo,,,
4447,4447,pulo petog 1 18 rt 1 1 12140 kebayoran baru,,,
4460,4460,bima duta 15 30 lambangsari tambun selatan,,,
4462,4462,karangroto gg. buntu 6 genuk,,,
4466,4466,"petir haji ahmad dah, 71 15146 cipondoh",,,
